Artist_Reputation,Height,Width,Weight,Material,Price_Of_Sculpture,Base_Shipping_Price,International,Express_Shipment,Installation_Included,Transport,Fragile,Customer_Information,Remote_Location,Cost,State
High_Reputation,21.0,6.0,3954.0,Brass,14.03,16.43,Yes,No,Yes,Waterways,No,Working Class,urban,-359.72,Texas
Low_Reputation,10.0,4.0,11909.0,Stone,29.47,28.18,Yes,No,No,Waterways,No,Working Class,urban,-329.2,Wyoming
Low_Reputation,37.0,9.0,239463.0,Marble,771.98,64.64,No,No,No,Roadways,Yes,Working Class,urban,-1924.3,AE
Low_Reputation,19.0,14.0,7976.0,Bronze,7.1,82.84,No,Yes,No,Roadways,No,Wealthy,urban,-425.64,Oregon
Moderate_Reputation,20.0,8.0,65103.0,Stone,165.05,86.65,No,No,Yes,Roadways,No,Wealthy,urban,-1354.11,AE
Low_Reputation,20.0,9.0,216919.0,Marble,263.03,46.56,Yes,No,Yes,Waterways,No,Working Class,urban,-708.99,Wyoming
High_Reputation,9.0,5.0,184.0,Aluminium,6.9,10.48,No,No,No,Roadways,No,Working Class,urban,-244.61,AE
Moderate_Reputation,24.0,8.0,261562.0,Marble,1562.1,91.58,Yes,No,No,Waterways,No,Working Class,urban,-2296.74,Arkansas
Low_Reputation,25.0,9.0,7901.0,Brass,8.56,93.59,No,No,No,Waterways,No,Working Class,remote,-547.81,Vermont
Moderate_Reputation,28.0,15.0,985.0,Aluminium,6.76,19.83,No,No,Yes,Roadways,No,Working Class,urban,-371.82,Iowa
High_Reputation,17.0,6.0,182.0,Wood,6.0,11.04,No,No,No,Airways,No,Wealthy,urban,-280.22,Colorado
Moderate_Reputation,20.0,8.0,53954.0,Marble,162.93,99.06,No,Yes,No,Airways,No,Working Class,urban,-1358.73,New Hampshire
Low_Reputation,10.0,4.0,4900.0,Marble,25.83,18.35,Yes,Yes,Yes,Airways,No,Wealthy,urban,-358.92,South Carolina
Moderate_Reputation,13.0,7.0,449.0,Aluminium,4.91,24.67,No,No,Yes,Airways,No,Working Class,urban,-214.15,AA
High_Reputation,8.0,5.0,301.0,Clay,4.38,20.36,Yes,No,No,Waterways,Yes,Working Class,urban,-280.42,Oklahoma
Low_Reputation,16.0,8.0,358.0,Aluminium,3.26,13.82,Yes,No,No,Airways,No,Wealthy,remote,-179.32,West Virginia
Moderate_Reputation,36.0,17.0,593.0,Wood,3.86,17.0,No,No,Yes,Roadways,No,Working Class,urban,-288.58,AP
Moderate_Reputation,22.0,15.0,16046.0,Brass,99.52,89.55,Yes,No,Yes,Waterways,No,Working Class,urban,-4895.23,AP
Low_Reputation,16.0,7.0,1002.0,Clay,4.15,22.03,No,No,No,Roadways,Yes,Working Class,urban,-156.3,Hawaii
High_Reputation,29.0,8.0,7757.0,Bronze,24.29,78.75,Yes,No,No,Airways,No,Working Class,urban,-2944.95,AA
Moderate_Reputation,21.0,5.0,71.0,Aluminium,4.28,19.83,No,No,No,Roadways,No,Working Class,remote,-205.19,Rhode Island
High_Reputation,49.0,17.0,196893.0,Brass,116.3,81.85,Yes,No,Yes,Waterways,No,Working Class,urban,-5364.93,Louisiana
Low_Reputation,20.0,7.0,3669.0,Bronze,5.13,11.07,No,No,No,Roadways,No,Working Class,remote,-152.23,Delaware
Moderate_Reputation,36.0,8.0,61696.0,Brass,61.6,48.17,No,No,Yes,Roadways,No,Working Class,urban,-1731.53,AE
Low_Reputation,9.0,4.0,74.0,Clay,6.77,11.75,No,No,Yes,Roadways,Yes,Working Class,remote,-137.87,Idaho
Moderate_Reputation,8.0,4.0,215.0,Clay,6.25,23.85,No,No,No,Roadways,Yes,Wealthy,urban,-263.23,Connecticut
Low_Reputation,24.0,12.0,2443.0,Clay,5.18,15.8,No,No,Yes,Airways,Yes,Wealthy,urban,-300.68,Colorado
Low_Reputation,47.0,23.0,5624.0,Aluminium,19.82,63.79,No,No,No,Roadways,No,Working Class,urban,-392.2,North Dakota
Moderate_Reputation,20.0,8.0,160742.0,Marble,554.72,92.44,No,No,Yes,Roadways,No,Working Class,urban,-5651.15,AE
High_Reputation,15.0,7.0,3872.0,Brass,5.49,20.04,Yes,Yes,No,Airways,No,Wealthy,remote,-963.88,Wyoming
Low_Reputation,22.0,9.0,345055.0,Stone,365.28,54.25,Yes,No,No,Waterways,No,Working Class,urban,-1297.25,Iowa
Low_Reputation,15.0,6.0,553.0,Clay,3.03,18.09,Yes,No,No,Waterways,Yes,Wealthy,urban,-182.92,Florida
Moderate_Reputation,39.0,7.0,1073.0,Aluminium,3.6,23.31,No,No,Yes,Roadways,No,Working Class,remote,-269.88,AA
Moderate_Reputation,7.0,5.0,415.0,Bronze,5.75,22.0,No,No,Yes,Airways,No,Working Class,urban,-210.45,Virginia
Low_Reputation,26.0,8.0,583.0,Wood,3.5,16.83,Yes,No,Yes,Waterways,No,Working Class,urban,-140.38,South Carolina
Moderate_Reputation,31.0,8.0,507253.0,Stone,1377.26,45.19,Yes,Yes,Yes,Roadways,No,Wealthy,urban,-12359.84,Washington
Moderate_Reputation,43.0,13.0,1954301.0,Stone,839.18,92.25,No,Yes,No,Airways,No,Wealthy,urban,-8617.36,New Hampshire
Low_Reputation,18.0,8.0,5263.0,Brass,7.86,55.05,No,No,Yes,Roadways,No,Working Class,urban,-383.26,Vermont
Moderate_Reputation,7.0,5.0,4736.0,Stone,18.4,23.76,No,Yes,No,Airways,No,Working Class,remote,-323.55,Massachusetts
High_Reputation,39.0,15.0,3996.0,Aluminium,11.76,22.39,No,Yes,Yes,Airways,No,Working Class,urban,-836.8,Kansas
Low_Reputation,15.0,7.0,16227.0,Marble,46.61,54.29,Yes,Yes,Yes,Airways,No,Wealthy,remote,-595.73,Kentucky
Moderate_Reputation,44.0,21.0,2663.0,Aluminium,4.43,15.69,No,No,No,Roadways,No,Working Class,remote,-232.86,Washington
High_Reputation,15.0,8.0,143739.0,Stone,409.34,72.82,No,No,No,Roadways,No,Working Class,urban,-4089.47,Maine
High_Reputation,20.0,3.0,495.0,Stone,6.11,20.95,Yes,No,No,Waterways,No,Working Class,remote,-516.72,North Carolina
Moderate_Reputation,32.0,11.0,2135.0,Aluminium,9.97,14.81,No,Yes,Yes,Airways,No,Working Class,urban,-1157.2,Nevada
High_Reputation,18.0,8.0,10381.0,Brass,26.1,45.79,Yes,Yes,No,Airways,No,Working Class,urban,-1536.89,Maryland
High_Reputation,26.0,12.0,524871.0,Marble,1566.67,59.65,No,No,No,Airways,No,Working Class,urban,-4300.25,Iowa
Moderate_Reputation,25.0,24.0,14074.0,Clay,34.08,95.89,No,No,Yes,Airways,Yes,Working Class,urban,-1165.4,Maine
Low_Reputation,8.0,4.0,788.0,Brass,4.22,24.47,No,No,No,Roadways,No,Working Class,urban,-179.2,New Hampshire
Low_Reputation,17.0,7.0,133437.0,Stone,210.57,94.13,No,No,Yes,Roadways,No,Working Class,urban,-1050.81,South Dakota
Moderate_Reputation,10.0,4.0,496.0,Bronze,3.06,18.67,No,No,No,Roadways,No,Working Class,urban,-215.68,Hawaii
Low_Reputation,18.0,6.0,1407.0,Clay,4.71,17.09,No,No,No,Roadways,Yes,Working Class,urban,-148.42,AA
Moderate_Reputation,9.0,5.0,1247.0,Brass,6.02,13.52,No,No,Yes,Roadways,No,Working Class,urban,-244.62,New Hampshire
Moderate_Reputation,14.0,8.0,1407.0,Clay,3.79,10.26,No,Yes,Yes,Roadways,Yes,Wealthy,urban,-213.96,Maine
High_Reputation,30.0,15.0,575.0,Wood,4.58,13.39,No,No,No,Roadways,No,Working Class,urban,-708.86,Maryland
High_Reputation,19.0,11.0,250244.0,Marble,1383.56,95.79,No,No,No,Roadways,No,Working Class,urban,-4083.76,North Carolina
Moderate_Reputation,12.0,8.0,2112.0,Bronze,4.16,17.29,Yes,No,No,Airways,No,Working Class,remote,-251.07,New Hampshire
Moderate_Reputation,16.0,6.0,1171.0,Brass,3.34,18.85,No,No,No,Airways,No,Working Class,remote,-236.89,Idaho
Low_Reputation,15.0,6.0,477.0,Clay,6.35,15.4,Yes,No,No,Airways,Yes,Working Class,remote,-189.24,Colorado
Moderate_Reputation,56.0,17.0,50809.0,Bronze,47.18,67.44,No,No,Yes,Waterways,No,Working Class,urban,-1030.25,AA
High_Reputation,25.0,17.0,768813.0,Marble,3929.77,55.12,No,No,Yes,Roadways,No,Working Class,remote,-28508.63,North Dakota
Low_Reputation,23.0,13.0,345.0,Wood,6.23,22.3,No,Yes,Yes,Airways,No,Wealthy,urban,-225.61,Wisconsin
Moderate_Reputation,21.0,14.0,2851.0,Aluminium,6.55,22.15,No,Yes,No,Roadways,No,Wealthy,remote,-390.57,New Hampshire
Moderate_Reputation,16.0,8.0,944.0,Clay,5.49,16.52,No,No,No,Roadways,Yes,Working Class,urban,-215.42,AP
High_Reputation,24.0,15.0,799475.0,Marble,2896.76,54.34,Yes,Yes,No,Airways,No,Working Class,urban,-20923.0,Ohio
Moderate_Reputation,10.0,4.0,115486.0,Marble,31.69,91.98,Yes,No,Yes,Waterways,No,Working Class,urban,-1043.72,Minnesota
Low_Reputation,41.0,9.0,494.0,Wood,5.58,18.88,No,Yes,Yes,Airways,No,Wealthy,urban,-156.01,Virginia
Low_Reputation,37.0,20.0,9467.0,Clay,20.41,27.4,No,Yes,No,Roadways,Yes,Working Class,urban,-428.22,Connecticut
Low_Reputation,35.0,13.0,7997.0,Brass,88.84,34.46,No,No,No,Roadways,No,Working Class,urban,-2135.3,Montana
High_Reputation,14.0,7.0,3694.0,Brass,8.3,17.02,No,Yes,Yes,Roadways,No,Working Class,remote,-1494.4,Washington
High_Reputation,8.0,8.0,149.0,Aluminium,6.92,21.85,No,No,No,Waterways,No,Working Class,urban,-626.73,Wisconsin
Low_Reputation,37.0,16.0,7365.0,Clay,28.53,29.16,Yes,No,Yes,Waterways,Yes,Working Class,urban,-336.53,Massachusetts
Moderate_Reputation,24.0,17.0,4848.0,Clay,32.42,23.52,Yes,No,Yes,Airways,Yes,Wealthy,urban,-552.54,Wyoming
Low_Reputation,23.0,10.0,1153.0,Aluminium,3.71,20.65,No,No,No,Roadways,No,Working Class,urban,-199.1,Mississippi
High_Reputation,30.0,7.0,1104.0,Aluminium,5.91,14.04,Yes,No,Yes,Waterways,No,Working Class,urban,-801.86,Illinois
Moderate_Reputation,23.0,12.0,450.0,Wood,4.95,24.48,No,No,No,Roadways,No,Working Class,urban,-211.1,Iowa
Low_Reputation,13.0,7.0,51068.0,Stone,153.97,71.73,No,Yes,No,Roadways,No,Wealthy,urban,-687.11,North Carolina
Moderate_Reputation,9.0,5.0,63.0,Wood,4.3,11.28,No,No,No,Roadways,No,Working Class,urban,-112.03,Connecticut
High_Reputation,10.0,5.0,541.0,Bronze,5.28,23.04,No,No,No,Roadways,No,Working Class,urban,-420.24,Arizona
High_Reputation,41.0,9.0,19928.0,Bronze,121.37,82.14,No,No,No,Waterways,No,Working Class,urban,-1310.04,Kentucky
High_Reputation,23.0,8.0,152855.0,Stone,647.77,88.79,No,Yes,No,Roadways,No,Working Class,urban,-19151.67,Alaska
Low_Reputation,26.0,6.0,1606.0,Clay,6.56,16.18,No,No,No,Airways,Yes,Working Class,remote,-185.39,Kansas
High_Reputation,7.0,5.0,2125.0,Stone,5.22,19.81,No,Yes,Yes,Roadways,No,Working Class,urban,-523.71,Illinois
Moderate_Reputation,41.0,12.0,7830.0,Clay,16.23,88.99,No,No,No,Roadways,Yes,Working Class,urban,-772.7,Arkansas
Moderate_Reputation,28.0,17.0,896.0,Wood,3.32,17.24,No,No,Yes,Airways,No,Working Class,remote,-344.74,AP
Low_Reputation,7.0,8.0,2168.0,Marble,4.65,17.06,No,No,No,Roadways,No,Working Class,urban,-171.15,New York
Moderate_Reputation,18.0,9.0,322.0,Wood,5.31,15.7,No,Yes,Yes,Roadways,No,Working Class,urban,-216.4,Texas
Moderate_Reputation,4.0,3.0,26.0,Wood,3.15,18.99,Yes,Yes,Yes,Airways,No,Wealthy,urban,-182.64,New Jersey
Moderate_Reputation,19.0,8.0,649.0,Aluminium,6.43,11.82,Yes,Yes,No,Airways,No,Working Class,urban,-196.34,New York
Moderate_Reputation,24.0,6.0,59036.0,Stone,319.06,70.13,No,No,Yes,Airways,No,Working Class,urban,-1964.21,New Jersey
Moderate_Reputation,11.0,8.0,815.0,Clay,5.52,21.32,No,No,Yes,Waterways,Yes,Working Class,remote,-239.33,Arkansas
Moderate_Reputation,9.0,5.0,653.0,Bronze,5.6,22.6,Yes,Yes,No,Airways,No,Wealthy,urban,-406.91,Iowa
Moderate_Reputation,22.0,18.0,18959.0,Brass,111.06,92.24,No,Yes,No,Airways,No,Working Class,urban,-1394.04,Idaho
Moderate_Reputation,12.0,8.0,1448.0,Bronze,9.85,15.31,Yes,No,Yes,Waterways,No,Working Class,urban,-371.58,Idaho
Moderate_Reputation,4.0,4.0,78.0,Bronze,4.63,13.77,No,Yes,Yes,Roadways,No,Wealthy,remote,-231.13,Texas
Moderate_Reputation,35.0,11.0,491.0,Wood,3.35,15.16,No,No,No,Airways,No,Wealthy,urban,-157.6,Wyoming
Low_Reputation,13.0,7.0,3130.0,Bronze,6.21,16.02,No,Yes,Yes,Roadways,No,Working Class,urban,-164.69,Tennessee
Low_Reputation,42.0,18.0,14120.0,Clay,12.59,72.17,No,No,No,Roadways,Yes,Working Class,urban,-655.89,Arizona
High_Reputation,44.0,15.0,11196.0,Clay,61.12,57.31,No,No,Yes,Waterways,Yes,Working Class,urban,-7178.95,District of Columbia
Moderate_Reputation,18.0,9.0,837.0,Aluminium,3.12,10.98,Yes,No,Yes,Waterways,No,Working Class,urban,-182.24,Michigan
Low_Reputation,5.0,3.0,701.0,Stone,6.7,24.16,Yes,No,No,Airways,No,Working Class,urban,-253.49,Connecticut
Moderate_Reputation,28.0,7.0,256.0,Wood,3.03,13.03,No,No,Yes,Roadways,No,Wealthy,urban,-290.28,South Dakota
High_Reputation,26.0,8.0,314113.0,Stone,1846.84,60.7,No,Yes,No,Airways,No,Wealthy,urban,-8745.47,Michigan
Low_Reputation,19.0,11.0,8648.0,Bronze,17.04,74.41,No,Yes,No,Airways,No,Working Class,urban,-527.23,AA
Low_Reputation,29.0,9.0,1407.0,Clay,6.49,21.95,No,No,No,Roadways,Yes,Working Class,urban,-198.87,AE
Moderate_Reputation,11.0,7.0,1318.0,Bronze,4.15,13.13,No,No,No,Roadways,No,Working Class,urban,-179.33,AP
Moderate_Reputation,35.0,18.0,59797.0,Bronze,238.2,87.86,No,No,No,Roadways,No,Working Class,urban,-1756.36,Kentucky
Moderate_Reputation,7.0,5.0,211230.5,Stone,41.61,28.46,No,No,Yes,Airways,No,Working Class,urban,-537.6,California
Moderate_Reputation,35.0,8.0,278714.0,Marble,378.41,92.17,Yes,No,Yes,Roadways,No,Working Class,urban,-3673.54,Nebraska
Moderate_Reputation,28.0,8.0,1407.0,Clay,8.71,24.06,No,Yes,No,Airways,Yes,Working Class,urban,-357.42,AP
Low_Reputation,14.0,7.0,5648.0,Brass,10.24,79.85,Yes,No,No,Waterways,No,Working Class,urban,-480.86,South Dakota
Moderate_Reputation,32.0,20.0,91529.0,Brass,456.3,99.59,Yes,No,Yes,Waterways,No,Working Class,urban,-2166.06,Minnesota
Moderate_Reputation,31.0,12.0,4475.0,Clay,27.1,24.77,No,No,No,Roadways,Yes,Working Class,urban,-569.38,Hawaii
Low_Reputation,30.0,8.0,10547.0,Bronze,38.22,33.93,Yes,No,No,Roadways,No,Working Class,urban,-579.35,Kentucky
Low_Reputation,16.0,7.0,3330.0,Brass,11.22,20.81,Yes,No,No,Waterways,No,Working Class,remote,-205.17,Massachusetts
Moderate_Reputation,15.0,6.0,44125.0,Stone,86.41,88.26,No,Yes,No,Roadways,No,Working Class,urban,-3280.77,Illinois
Low_Reputation,3.0,3.0,211230.5,Stone,6.08,13.82,No,Yes,Yes,Roadways,No,Working Class,urban,-223.93,Ohio
High_Reputation,3.0,2.0,85.0,Marble,5.64,14.19,No,Yes,No,Airways,No,Working Class,urban,-256.53,Idaho
High_Reputation,23.0,7.0,1404.0,Clay,5.49,17.91,No,No,No,Roadways,Yes,Working Class,urban,-476.36,Alabama
Moderate_Reputation,23.0,10.0,444173.0,Stone,2359.05,65.95,No,No,Yes,Roadways,No,Working Class,urban,-6102.69,Georgia
Low_Reputation,31.0,12.0,338703.0,Marble,179.03,25.76,No,No,No,Roadways,No,Working Class,urban,-655.22,Nevada
Low_Reputation,14.0,6.0,335.0,Aluminium,4.15,21.65,No,No,No,Roadways,No,Working Class,urban,-177.7,Maine
Moderate_Reputation,36.0,15.0,110410.0,Brass,188.57,33.45,Yes,No,No,Waterways,No,Working Class,urban,-651.66,Delaware
Moderate_Reputation,4.0,3.0,32.0,Aluminium,4.16,22.2,No,No,No,Roadways,No,Working Class,remote,-161.78,Massachusetts
Low_Reputation,14.0,6.0,393.0,Aluminium,6.33,22.54,No,Yes,No,Airways,No,Working Class,urban,-174.99,AA
Moderate_Reputation,30.0,20.0,870.0,Wood,6.41,16.11,Yes,Yes,Yes,Airways,No,Wealthy,urban,-475.08,AP
Moderate_Reputation,15.0,8.0,163.0,Wood,3.19,13.89,No,No,Yes,Roadways,No,Working Class,urban,-182.93,Ohio
Low_Reputation,24.0,8.0,301767.0,Stone,715.93,52.35,Yes,No,Yes,Waterways,No,Working Class,urban,-1933.07,Tennessee
Moderate_Reputation,12.0,8.0,285.0,Aluminium,3.62,21.02,No,No,No,Roadways,No,Working Class,urban,-248.57,Rhode Island
Moderate_Reputation,16.0,6.0,127.0,Wood,5.18,20.07,No,Yes,No,Airways,No,Working Class,urban,-197.47,Ohio
High_Reputation,16.0,7.0,267.0,Aluminium,3.19,11.17,Yes,No,Yes,Waterways,No,Working Class,urban,-302.53,AE
Moderate_Reputation,10.0,4.0,57.0,Aluminium,6.92,24.71,No,No,Yes,Waterways,No,Working Class,urban,-237.86,North Carolina
Low_Reputation,41.0,18.0,28778.0,Bronze,97.34,87.21,No,No,Yes,Roadways,No,Wealthy,urban,-1312.68,Michigan
Low_Reputation,37.0,8.0,13611.0,Bronze,32.43,69.33,No,No,Yes,Waterways,No,Working Class,urban,-604.6,Vermont
High_Reputation,25.0,7.0,220.0,Wood,3.2,20.51,No,No,Yes,Roadways,No,Working Class,urban,-567.81,Hawaii
Moderate_Reputation,14.0,8.0,150.0,Wood,6.42,13.76,Yes,No,No,Waterways,No,Working Class,remote,-326.91,Colorado
High_Reputation,22.0,8.0,241688.0,Stone,661.51,78.79,Yes,Yes,Yes,Roadways,No,Wealthy,urban,-17963.1,Florida
High_Reputation,16.0,6.0,649.0,Aluminium,6.19,16.64,Yes,Yes,Yes,Airways,No,Working Class,urban,-588.97,AP
High_Reputation,13.0,6.0,1328.0,Bronze,6.36,11.62,No,No,Yes,Roadways,No,Working Class,urban,-345.16,AA
Moderate_Reputation,6.0,5.0,5741.0,Stone,30.53,81.56,Yes,No,No,Waterways,No,Working Class,urban,-661.2,Kentucky
Low_Reputation,20.0,6.0,157.0,Wood,4.98,10.66,No,Yes,Yes,Airways,No,Wealthy,urban,-141.17,Nevada
High_Reputation,45.0,8.0,832.0,Wood,4.33,10.78,Yes,Yes,No,Airways,No,Wealthy,urban,-404.9,Illinois
Moderate_Reputation,13.0,6.0,879.0,Bronze,7.08,14.91,No,No,No,Roadways,No,Working Class,urban,-352.88,Massachusetts
Low_Reputation,7.0,4.0,442.0,Brass,3.43,12.0,No,No,No,Waterways,No,Working Class,urban,-123.57,Rhode Island
High_Reputation,33.0,16.0,98883.0,Brass,259.2,60.9,No,Yes,No,Airways,No,Working Class,remote,-5585.99,Ohio
Low_Reputation,27.0,7.0,210.0,Wood,3.62,11.65,No,No,Yes,Roadways,No,Working Class,remote,-120.85,Arizona
Moderate_Reputation,3.0,2.0,17.0,Clay,5.02,21.44,No,Yes,No,Airways,Yes,Wealthy,remote,-176.03,Oregon
High_Reputation,10.0,4.0,254.0,Clay,6.16,16.25,No,No,Yes,Waterways,Yes,Working Class,urban,-615.1,AA
Moderate_Reputation,39.0,6.0,14966.0,Brass,57.19,93.12,No,No,No,Waterways,No,Working Class,urban,-1636.4,Virginia
High_Reputation,8.0,4.0,92.0,Aluminium,6.91,10.71,No,Yes,No,Airways,No,Wealthy,remote,-304.57,AP
Moderate_Reputation,5.0,5.0,349.0,Brass,5.81,13.32,No,Yes,No,Airways,No,Wealthy,urban,-172.58,AE
Low_Reputation,36.0,10.0,3003.0,Clay,5.54,11.85,No,No,No,Roadways,Yes,Working Class,urban,-174.92,Kentucky
Moderate_Reputation,27.0,7.0,204525.0,Marble,276.87,78.71,No,No,No,Roadways,No,Working Class,urban,-1411.3,Wisconsin
Low_Reputation,4.0,3.0,14.0,Aluminium,6.59,17.56,No,Yes,No,Airways,No,Wealthy,remote,-157.16,District of Columbia
Low_Reputation,11.0,7.0,7997.0,Brass,6.26,17.66,Yes,No,No,Waterways,No,Working Class,urban,-157.55,AE
High_Reputation,43.0,13.0,43735.0,Bronze,115.44,86.23,Yes,Yes,No,Airways,No,Working Class,remote,-7401.55,Oregon
High_Reputation,7.0,5.0,403.0,Bronze,5.54,16.9,No,Yes,No,Roadways,No,Working Class,urban,-398.86,New Jersey
Low_Reputation,20.0,10.0,242733.0,Marble,252.32,53.8,No,No,Yes,Roadways,No,Working Class,urban,-873.43,Kentucky
Moderate_Reputation,9.0,8.0,6078.5,Bronze,5.74,18.18,No,Yes,Yes,Airways,No,Working Class,urban,-206.32,Arkansas
Moderate_Reputation,6.0,4.0,2091.0,Marble,9.62,11.95,No,No,No,Roadways,No,Working Class,urban,-268.72,California
High_Reputation,10.0,4.0,65.0,Aluminium,3.07,18.17,No,No,Yes,Roadways,No,Working Class,urban,-290.64,Oklahoma
Low_Reputation,58.0,27.0,24675.0,Clay,56.86,29.79,No,Yes,No,Roadways,Yes,Wealthy,urban,-818.83,North Carolina
Low_Reputation,18.0,12.0,753.0,Aluminium,4.41,19.31,No,No,No,Airways,No,Working Class,urban,-146.3,AA
Moderate_Reputation,30.0,8.0,25238.0,Bronze,89.21,48.93,No,No,No,Roadways,No,Wealthy,remote,-1244.76,New Hampshire
Low_Reputation,7.0,4.0,105.0,Clay,4.56,21.18,No,Yes,No,Roadways,Yes,Wealthy,remote,-165.26,Washington
High_Reputation,50.0,11.0,97829.0,Brass,1005.56,36.74,No,No,Yes,Airways,No,Working Class,urban,-4719.74,Kansas
Moderate_Reputation,42.0,18.0,10374.0,Clay,17.87,45.38,Yes,No,No,Roadways,Yes,Working Class,remote,-867.52,Alabama
Low_Reputation,20.0,10.0,717.0,Aluminium,5.93,19.12,No,No,No,Roadways,No,Working Class,urban,-129.89,California
Moderate_Reputation,19.0,6.0,2240.0,Brass,10.21,17.03,Yes,No,No,Waterways,No,Working Class,urban,-282.95,Minnesota
Low_Reputation,15.0,8.0,4722.0,Brass,6.31,14.58,Yes,Yes,Yes,Airways,No,Wealthy,urban,-350.94,Arizona
Low_Reputation,9.0,4.0,115486.0,Marble,10.81,14.97,No,No,No,Roadways,No,Working Class,urban,-184.73,Pennsylvania
Moderate_Reputation,3.0,2.0,36.0,Brass,4.39,11.99,No,Yes,No,Roadways,No,Working Class,urban,-161.67,New York
Moderate_Reputation,10.0,4.0,71.0,Wood,6.19,23.35,No,Yes,No,Roadways,No,Working Class,urban,-262.19,North Carolina
Moderate_Reputation,4.0,8.0,115486.0,Marble,4.68,12.05,No,No,Yes,Roadways,No,Wealthy,remote,-217.65,AE
High_Reputation,12.0,7.0,337.0,Clay,6.28,20.26,Yes,No,Yes,Roadways,Yes,Wealthy,urban,-533.03,Alaska
Low_Reputation,21.0,9.0,301.0,Wood,3.15,18.48,Yes,Yes,Yes,Roadways,No,Working Class,urban,-223.42,Indiana
Moderate_Reputation,22.0,13.0,715.0,Wood,3.06,22.82,Yes,Yes,No,Airways,No,Wealthy,urban,-490.22,Oregon
High_Reputation,21.0,8.0,219.0,Wood,3.28,11.15,Yes,No,Yes,Airways,No,Working Class,urban,-267.38,Arkansas
Moderate_Reputation,20.0,9.0,331.0,Wood,5.96,15.33,Yes,No,No,Roadways,No,Working Class,urban,-198.53,Utah
Moderate_Reputation,20.0,8.0,54822.0,Marble,47.39,38.87,No,Yes,Yes,Roadways,No,Wealthy,urban,-836.99,New Jersey
Low_Reputation,6.0,4.0,79.0,Aluminium,3.8,18.51,No,Yes,No,Airways,No,Wealthy,remote,-149.96,West Virginia
Moderate_Reputation,42.0,24.0,6497.0,Aluminium,25.95,72.47,No,No,No,Roadways,No,Wealthy,urban,-1834.32,AA
Moderate_Reputation,15.0,7.0,329.0,Aluminium,5.1,15.44,No,No,No,Roadways,No,Working Class,remote,-248.06,Pennsylvania
Low_Reputation,21.0,11.0,256.0,Wood,6.06,12.12,Yes,No,Yes,Airways,No,Working Class,urban,-112.56,Kansas
High_Reputation,23.0,17.0,252208.0,Marble,1904.42,47.69,No,Yes,No,Airways,No,Wealthy,urban,-4937.71,AE
High_Reputation,24.0,12.0,403462.0,Marble,2227.26,89.85,No,No,No,Roadways,No,Working Class,urban,-8114.24,Arizona
Low_Reputation,11.0,8.0,2065.0,Bronze,5.36,14.94,No,No,No,Airways,No,Working Class,urban,-155.85,Maryland
Low_Reputation,28.0,11.0,896.0,Aluminium,3.83,15.43,No,No,No,Roadways,No,Working Class,urban,-154.19,Ohio
Low_Reputation,38.0,21.0,12953.0,Clay,7.08,53.85,No,No,Yes,Airways,Yes,Working Class,urban,-475.45,Alaska
Low_Reputation,9.0,5.0,6078.5,Bronze,4.3,12.91,No,Yes,Yes,Roadways,No,Wealthy,urban,-184.48,Massachusetts
Low_Reputation,13.0,7.0,39956.0,Stone,56.62,59.6,No,No,Yes,Waterways,No,Working Class,urban,-385.65,West Virginia
